Class,text
religion, >}Herb Huston (huston@access.digex.com) wrote: >}: Actually  cannibalism is quite widespread.  My favorite examples are sand >}: sharks and mackerel sharks.  The fetuses begin cannibalizing each other  and >}: the one that is eventually born enters the sea with a full stomache.  Would >}: you like some more gruesome examples? >}Fair enough - I m pretty well aware of the examples used - and mine were very >}rapidly and thoughtlessly pulled out of thin air  but the point I m making is >}that our non-cannibalism doesn t imply any `value  over other animals. >Did something happen while I wasn t looking?  When did _Homo sapiens_ become >non-cannibalistic?  Including ritualized cannibalism where the act itself becomes sacred?
windows," >> In article <1ov6rj$gev@gabriel.keele.ac.uk> csd25@keele.ac.uk (C.M. Yearsley) writes: >>>I ve just bought a PC which came with a bundle of Lotus stuff  including >>>Adobe Type Manager version 1.15. As a newcomer to Windows  I m >>>confused about which I should be using  ATM or Truetype.  >>> >> ...  >There is a program called true-effects for windows  that allows you to define >attributes for true-type fonts  and have them look like new fonts.  It will >give your font different backgrounds  or shadows  or reverse  etc...  >It ONLY works with TT fonts.  Yes  and the idea was ripped off from Adobe  which has had a program called  TypeAlign for a few years now.  TypeAlign does the same thing for Adobe Type 1 fonts  *and* Adobe has said that the next version will work with both Adobe Type 1 and TrueType.  And TypeAlign does some things that TrueEffects does not - including some things you apparently want ...  >If you want to use it  you best not want to use it with an ATM type font.  >(Oh  yeah... lest you think this is a really cool program  none of the  >effects are scalable  (like the brick background pattern is the same size >whether your font is 10 point of 100 point.)  and it is not extensible  >I.E. you CAN NOT add pattern of your own. >And you can t rorate the background pattern... >And you can t make the pattern extend beyond one character >	(Every character in that new font has the entire pattern in it  >	As opposed to having the SAME pattern run contiguously through >	a couple of characters)  >It is however cheap. >Maybe I will buy a copy when the next version comes out  if they fix some of >these gripes...  >			John."
religion," >> in the very large discussion of kleros in done the to  Theological Dictionary >> of the New Testament  by Bromley  is the meaning  burial plot  discussed.  It >> discusses the forms of  kleros  (eg: kleros  kleroo  etc)  and the various >> meanings of  kleros  (eg:  plot of land   and  inheritance )  but mentions >> nothing about CHORION or  burial plot.  (Why does this not surprise me?) Thus >> it would seem to be a very good thing you dumped Archer as a reference). >  > I was wrong. I admit that I do not have a handle on Greek grammar  and thus > confused  kleros   the second to last word in Acts 1:17 as being the plot of > land discussed.  In actuality it is  chorion   which is the last word Acts > 1:18.  Unfortunately my Greek dictionary does not discuss  chorion  so I > cannot report as to the nuances of the word.  I abhor publishing trash (I abhor it of myself even more than I do from others  but since I do not present myself as an authority on the subject  I do not feel dishonest  though I do openly admit ignorance and incompetence in this example).  Thus I felt honor bound to do a better set of research specifically on the word.  First it should be noted that Greek grammar is not as tough as I first assumed (it is not nontrivial by any means  and I still am not competent with it  but it is not as opaque as I had thought).  It turns out that while the Index for the Bauer-Arndt-Gingrich  Greek Lexicon  renders each verse in order  each word within a verse is put in greek alphabetical order.  Thus while the the meaning of the verse is decipherable  the syntax is far from clear.  On the other hand  a Greek-English Intralinear Bible makes things a lot more comprehendable.  And yes  the word for field in Acts 1:18 is indeed  chorion.    Now I ve checked several Greek-English lexicons:  	 Greek English Lexicon of the New Testament   Louw and Nida 	 Robinson s Greek and English Lexicon of the New Testament  	 Greek English Lexicon of the New Testament   Grimm 	 Word study Concordance   Tynsdale 	 A Greek English Lexicon of the New Testament and other  	 early Christian Writings   Bauer-Arndt-Gingrich 	 The New Analytical Greek Lexicon   Perschbacher  In each case the meaning of the word Chorion was given variously as:  	A space  place  region  district  field  area   country place    	land  farm  estate   a bit of tillage   and similar meanings.  Nowhere do any of these books mention anything about  grave.  As some of these  books go into great detail  I would be very surprised to find that these books  are all inadequate and Mr Archer is the only competent scholar in Greek.  I  think it more likely that Mr Archer s investigations into  contradictions  to  be once again  as your friend said it   lacking in substance   and thus Archer  is again shown worthless as an expert witness (By the way Mr DeCenso  I would  have honorably presented my results on this matter  even if I had found them to support Mr Archer s contentions).   By the way  among these lexicons  (eg: Robinson s) is the definition of  agros   the word used in Matthew 27 to describe the field bought.  The word  agros  is defined as  a field in the country.  Chorion is specifically noted as a synonym to agros.  This is significant  as it is evidence of how silly Bullinger s exegisis was  which stated that the word for  field  in Matthew (ie: agros) is different from the word for  field  in Acts (ie: chorion)  and thus we must be talking about two different fields (Of course you already admit how stupid Bullinger s exegisis is  but this was a small serendipity which drives the point home).   So as of now  unless Mr DeCenso show compelling reasons to believe otherwise (eg: a reputable scholar with reputable references)  I consider this  particular issue closed.  See Mr DeCenso  now you can go on to answer questions about the denials of Peter  the day of the Crucifixion  Tyre  and  the fact that the author of Matthew quoted from the wrong prophet in discussing the  Potter s Field.    				Later   				Dave Butler      Precise knowledge is the only true knowledge  and he who does not teach     exactly  does not teach at all. 				Henry Ward Beecher 				American Clergyman 				as recorded by George Seldes"
windows, >> Is there any FTP site that carries WinBench results for different graphics >> cards? In Excel (XLS) format? What is the latest version of WinBench and >> how do they differ? Is the source available  and has anybody try to port it to >> X-Window  at least in a way that will make comparisons possible? >>  >On ftp.cica.indiana.edu in pub/pc/win3/misc/winadv.zip is a writeup by >Steve Gibson of InfoWorld with winbench 3.11 and a number of other  >benchmark results for nine isa and four VLB video cards.  This is a  >very current upload and is likely to have any card you re currently  >giving serious consideration.  Not in XLS format.  Latest version of >WinBench that I know of is ver 3.11.  I believe they try to maintain >the same rating scale between versions  and new versions are released >to defeat the lastest coding tricks put in by driver programmers to >beat the benchmarks.  Don t know on the last one.  And why they are considering using WinBench as a test  they may want to read everything Steve Gibson has said on the subject in his InfoWorld column the past couple of month.  In short  virtually every board manufacturer cheats on the test by writing things in the driver that is there only to make the board appear faster on the WinBench suite.  So the WinBench score has no bearing in reality to how cards stack up on real world tasks.  In the last PC-Magazine they benchmarked some of the new accelerators  and admitted that many of them  cheated  on WinBench.  Interestingly  they  allowed  one type of cheating behaviour (caching for bitblt operations  no matter how unreal)  yet did not allow a couple of other types of cheating behaviour that some of the cards used.  At least one card was eliminated from the  Editor s Choice  because of cheating on the benchmark.  >Al DeVilbiss >al@col.hp.com
atheism, >> like the court system. >However  anyone who doesn t like the  automobile system  can >opt out  as I have.  This isn t true.  Many people are forced to use the  automobile system.  I certainly don t use it by choice.  If there were other ways of getting around  I d do it.  >Secondly  we do try to make the  automobile system  as safe >as possible  because we *do* recognize the danger to the  >innocent  whereas the US - the current example - is not trying >to make the  Court System  safer  which it could fairly easily >do by replacing fatal punishments with non-fatal punishments.  But I think that the Court system has been refined--over hundreds of years in the US  Britain  and other countries.  We have tried to make it as fair as possible.  Can it be made better (without removing the death penalty)?  Besides  life imprisonment sounds like a fatal punishment to me.  keith
atheism, >> Now  back to your post.  You have done a fine job at using  >> your seventh grade  life science  course to explain why >> bad diseases are caused by Satan and good things are a  >> result of God.  But I want to let you in on a little secret. >>  We can create an amino acid sequence in lab! -- And guess >> what  the sequence curls into a helix!  Wow!  That s right  >> it can happen without a supernatural force.   > >Wow!  All it takes is a few advanced science degrees and millions >of dollars of state of the art equipment.  And I thought it took >*intelligence* to create the building blocks of life.  Foolish me!   People with advanced science degrees use state of the art equipment and spend millions of dollars to simulate tornadoes. But tornadoes do not require intelligence to exist.  Not only that  the equipment needed is not really  state of the art.  To study the *products*  yes  but not to generate them.  >If you want to be sure that I read your post and to provide a >response  send a copy to Jim_Brown@oz.bmd.trw.com.  I can t read >a.a. every day  and some posts slip by.  Thanks.    Oh  I will. :->  Sincerely   Ray Ingles                  || The above opinions are probably                             || not those of the University of ingles@engin.umich.edu      || Michigan. Yet.
religion, >> sbooth@lonestar.utsa.edu (Simon E. Booth) writes: >>> dzkriz@ocf.berkeley.edu (Dennis Kriz) writes:  >>>> Is Clinton nuts?  >>> Of course he is.  I d go further and suggest that he and Hillary are >>> mentioned in the Book of Revelation (my favorite book in the Bible btw).  >> Sure  I bet you check your forehead in the mirror every half-hour.  >This gets my vote as the funniest SnappyComeback[tm] of the week.  Well  I try. Betcha when he finds out that only 144 thousand are going he s going to complain about gross discrimination.  (I don t believe I said that) :-)     >--  >Chris Lyman  Using .sigfiles to        /    Learn to laugh at yourself  >TransMit Hidden Messages since 1991    /    otherwise you may miss the joke >email: chrisl@pwcs.stpaul.gov          /    of the century.  -- Dame Edna  TOG 
religion, >> with the same sex.  > >What about the homosexual whose family does not accept that decision and >is hurt (emotionally) by it?  Good question.  I don t have a nice concise answer  though.  What about the child whose parents are crushed emotionally because he/she starts a carerr doing something they greatly dislike.  It is the same kind of harm  and is probably  caused  by the same thing:  The desire of the child to be  true to his or her self.  What is more important  being true to yourself or burying that truth within you in order to maintain peace in the family?  hard question  no good answer.  Lance
forsale," >>	(opened  unregistered)  >So  does anyone care to enlighten us whether DOS6.0 is worth upgrading to? >How good is it s compression  and can it be turned on/off at will? >Any other nice/nasty features?  According to reports  if you don t have DOS yet  and don t have any utilities (QEMM  Stacker  PCTools  Norton  ...) then DOS6 may be worth it.   For people who have DOS5  and some sort of utility  DOS6 doesn t offer much. You d never know it from the usual hype that marketing is able to create  however. :-) --  Tom Hatton hatton@cgl.ucsf.edu (415)-476-8693"
religion," >>	if it is tainted with the blood >>	of an innocent man. > >. . . now showing how Brian Kendig is in the dark of the  >most fundamental basic of the Old Testament.  Concepts like >santification and Lev. 17:11 must be foreign to you.  Too bad >you are not interested in understanding.  Too bad you prefer >blurting folly even to your own shame.    Lev 17:11: For the life of the flesh is in the blood  and I have given   it to you upon the altar to make atonement for your souls  for it is   the blood that makes atonement for the soul.  The Old Testament was very big on the  eye for an eye  business.  It makes sense that Leviticus would support physical injury to  repay  moral wrongdoing.  I know about sanctification.  I ve been taught all about it in Sunday school  catechism class  and theology classes.  But even after all that  I still can t accept it.  Maybe I m still not understanding it  or maybe I m just understanding it all too well.  From the bottom of my heart I know that the punishment of an innocent man is wrong.  I ve tried repeatedly over the course of several years to accept it  but I just can t.  If this means that I can t accept the premise that a god who would allow this is  perfectly good   then so be it.  >     What ignorance you can show us next?  I guess I ll wait >till tomorrow.  If you can explain to me why the death of Jesus was a *good* thing  then I would be very glad to hear it  and you might even convert me. Be warned  however  that I ve heard all the most common arguments before  and they just don t convince me.  --  _/_/_/  Brian Kendig                             Je ne suis fait comme aucun /_/_/  bskendig@netcom.com                de ceux que j ai vus  j ose croire _/_/                            n etre fait comme aucun de ceux qui existent.   /  The meaning of life     Si je ne vaux pas mieux  au moins je suis autre.  /    is that it ends.                                           -- Rousseau"
atheism, >>(2) Do women have souls in Islam? >> >>People have said here that some Muslims say that women do not have >>souls.  I must admit I have never heard of such a view being held by >>Muslims of any era.  I have heard of some Christians of some eras >>holding this viewpoint  but not Muslims.  Are you sure you might not be >>confusing Christian history with Islamic history? >> >  >Yes  it is supposed to have been a predominant view in the Turkish >Caliphate. >   I am not aware of any  Turkish Caliphate  viewpoint on this. Can you reference?  However  I found a quote due to Imam Ali  whom the Shias follow:   Men  never obey your women in any way whatsoever. Never let them give their advice on any matter whatsoever  even those of everyday life. Indeed  allow them freely to give advice on anything and they will fritter away one s wealth and disobey the wishes of the owner of this wealth.   We see them without religion  when  alone  they are left to their own devices  they are lacking in both pity and virtue when their carnal desires are at stake. It is easy to enjoy them  but they cause great anxiety. The most virtious among them are libertines. But the most corrupt are whores. Only those of them whom age has deprived of any charm are untainted by vice. They have three qualities particular to miscreants  they complain of being oppressed  whereas it is they who oppress  they make oaths  whereas they are lying  they pretend to refuse men s solicitations  whereas they desire them most ardently. Let us beg the help of God to emerge victorious from their evil deeds. And preserve us in any case from their good ones.   (Quote from Mas ud al-Qanawi  ref. A. Bouhdiba  Sexuality in Islam   p. 118).  I wouldn t consider this quote as being exemplary of the Islamic (TM) viewpoint though.  For all we know  the prophet s cousin and the Fourth Khalif Hazret-i Ali may have said this after a frustrating  night with a woman.  Selim Guncer  -- Selim E. Guncer               | Jaca negra  luna grande  CSSER-ASU                     | y aceitunas en mi alforja. (602)-965-4096                | Aunque sepa los caminos guncer@enuxha.eas.asu.edu     | yo nunca llegare a Cordoba.. (FGL)
atheism, >>...Argument from incredulity has not been considered a valid form of >> reasoning since medieval times. [deletions] >Interesting that you should mention that  Argument from incredulity has >not been considered a valid form of reasoning since medieval times.   I >quite agree.  Why then  do some atheists here engage in it?  More than >a few times I have read posts where the atheists posting state that >they  cannot see how a gracious and loving God can allow such evil and >suffering to occur as we see on the earth.   Simply because they cannot >envision it  it must not be true.  If this is not an argument from >incredulity  I don t know what is!   As you have presented it  it is indeed an argument from incredulity. However  from what I have seen  it is not often presented in this manner. It is usually presented more in the form   And *besides*  I cannot see... ...nor have I ever been offered a convincing explanation.   Moreover  it is not unreasonable to ask for an explanation for such phenomena. That theism does not provide a convincing explanation is not an argument in theism s favor. Especially when different theisms offer  different explanations  and even different adherents of what is purportedly the same theism give different explanations...  >                                    God has far more complex motivations >and reasons for action or non-action than to simply  fix  evil whenever >and however it occurs  or even *before* it occurs.  And yet  it is this >very same argument from incredulity which ranks high among reasons >why atheists (in general) reject God and in particular the Christian God.   Not im my experience. In my experience  the most common reason is the lack of evidence in theism s favor. You mileage may vary. :->  >This seems to be the universal bane of human reasoning and rationality   >to wit  that it is far easier to see the logical fallacy or inept reasoning  >on the part of one s opponents than it is to see it in oneself.   Oh  heck  I ll be snide this once. :-> It s also fairly easy to attack arguments that are not made. (I.e.  strawmen .)  >As one Man of Wisdom put it  take the log out of your own eye before you  >try to remove the splinter from your neighbor s eye.   Sage advice indeed.   Sincerely    Raymond Ingles                       ingles@engin.umich.edu    An apple every eight hours keeps three doctors away.  - B. Kliban
atheism, >>> I accept nothing on blind faith.   >>Invisible Pink Flying Unicorns!  Need I say more?   >...I harbor no beliefs at all  there is no good evidence for god >existing or not.  Some folks call this agnosticism.  It does not suffer >from  blind faith  at all.  I think of it as  Don t worry  be happy .   For many atheists  the lack of belief in gods is secondary to an epistemological consideration:  what do we accept as a reliable way of knowing?  There are no known valid logical arguments for the existence of gods  nor is there any empirical evidence that they exist.  Most philosophers and theologians agree that the idea of a god is one that must be accepted on faith.  Faith is belief without a sound logical basis or empirical evidence.  It is a reliable way of knowing?   There is probably nothing else most people would accept in the absence of any possibility of proof.  Even when we agree to take someone elses word  on faith   we just mean that having found this person to be reliable in the past  we judge him likely to be a reliable source now. If we find faith less reliable than logic and empirical evidence everywhere else  why assume it will provide reliable knowledge about gods?   The difference between the atheist and the theist is fundamentally then one of whether or not faith is held to be a reliable way of knowing  rather than  as some agnostic posters would have it  whether ones faith is in gods or no gods.  The theist believes that faith is an acceptable basis for a belief in gods  even if he rejects faith as reliable at other times  for example in his work as a scientist.  The atheist believes that only logic and empirical evidence lead to reliable knowledge.  Agnosticism seems to me a less defensible position than theism or atheism  unless one is a sceptic in regards to all other knowledge.  Without evidence  why should we believe in gods rather than Santa Claus or the Easter Bunny?   I would also like to point out as others have that the atheist doesn t require absolute knowledge of the lack of gods.  I don t believe that there is any such thing as absolute knowledge.  Atheism is the best and simplest theory to fit the (lack of) facts and so should be held until contrary evidence is found.   David Nye (nyeda@cnsvax.uwec.edu).  Midelfort Clinic  Eau Claire WI This is patently absurd  but whoever wishes to become a philosopher must learn not to be frightened by absurdities. -- Bertrand Russell
atheism, >>>implanted some sort of electronic device. >>Why wait until they commit the crime?  Why not implant such devices in >>potential criminals like Communists and atheists? >  > Sorry  I don t follow your reasoning.  You are proposing to punish people > *before* they commit a crime?  What justification do you have for this?  Look up  irony   Keith.   mathew
religion, >>Are you in favor of killing all physical and mental  cripples?   (so un-pc.) >> Cripples  deserve to live just as much as anyone else.       > >He is not talking about killing  cripples  he is talking about *making* >someone (the woman) *become* a  cripple  (emotionally) by not allowing >her to have an abortion.  Pay attention.  My apologies.  Your right.  I wasn t following the thread.  But I think most women are tougher than that.  I am suprised that someone would  insinuate that women are in some way so vunerable.  Link     > >>I don t have any stats.  I seriously doubt that most abortions are done >>on physical or mental  cripples  unless you are making the generalization >>based on the race of most babies aborted.  (even-more-un-pc.  and not  >>accuarate either.) > >Again  he was refering to the woman  not the abortees. > >>Link Hudson. > >-Rob  
religion, >>denials.  I ve never had a fundamentalist acknowledge that there are >>indeed two different accounts of creation. > >That is because two creation stories is one of the worst examples of  >a difficulty with the Bible.   were formed  can also be translated  had been >formed  in chapter two without any problems.  So the text does not demand >that there are two creation stories.    Really?  I don t get it... Genesis first says that God created the earth  then the animals  then humans  then it turns around and says that humans were created before animals!  How can you escape this contradiction?  --  _/_/_/  Brian Kendig                             Je ne suis fait comme aucun /_/_/  bskendig@netcom.com                de ceux que j ai vus  j ose croire _/_/                            n etre fait comme aucun de ceux qui existent.   /  The meaning of life     Si je ne vaux pas mieux  au moins je suis autre.  /    is that it ends.                                           -- Rousseau
religion, >>Exactly.  Sunday worship is in honor or the *SUN*  not the *SON* of God. > >Same thing  isn t it? It s pronounced the same? What other heavenly >beings are resurrected? The moon? That would by lunacy  at least to a >sunday worshiper.  I have heard that the sabbath was originally determined by the phases of the moon  and had elements of moon worship.  Early stuff  Egyptian in nature.  --  -- Larry Caldwell  caldwell@ohsu.edu  CompuServe 72210 2273 Oregon Health Sciences University.  (503) 494-2232
windows, >>I am having a problem configuring the mouse in windows to use COM3 >>with IRQ5. > >>COM1 and COM2 are being used to support two 24 hour bbs lines   There you go.  COM1 and COM3 use the same IRQ  therefore you can t use a mouse on COM3 and a modem on COM1  or vice versa.  It s a limitation of DOS.  And in fact Windows will not see a mouse on anything other than COM1 or COM2.  Accept this fact  and either get a bus mouse  or get a new computer.  >I would also like to know if it is possible to use the mouse on ports other >than COM1 or COM2.   No.  The advice above applies.... -- Greg Franklin franklig@gas.uug.arizona.edu
atheism, >>I don t know where the exact cutoff is  but it is at least after a few >>years  and surely after 40 years. >Why does the notion of default not take into account changes >in population makeup?       Specifically  which changes are you talking about?  Are you arguing that the motto is interpreted as offensive by a larger portion of the population now than 40 years ago?  keith
windows, >>I have a question about WINBENCH (pc labs thing) 3.11.. >> >>I have a 386/33 and a Ahead B (512k) card and got these results- >> >>windows vga driver - 2.44 million >>ahead B (640-480-256) driver - 455 000 winmarks >>windows svga (800-600-16) driver - 1.68 million winmarks... >> >>I was thinking about upgrading to a diamond 24x card.. I read it had about >>8 million winmark.. > >On my 386dx 33Mhz 4Mb RAM >Winbench 2.5 > 24x v2.02 16.7M        1 668 274 >     v2.03 16.7M        1 668 985 >     v2.03 16           4 602 428 >     v2.03 256          7 635 278  Be very careful with these results!  As I recall  numbers from Winbench 2.5 are calculated differently from 3.1  and so these figures are not comparable.  However  to answer Stephen s question  replacing the Ahead B card with a Diamond 24x will yield a cost-effective  dramatic speed increase for Windows.  That or the ATI Graphics Ultra Plus.... -- Greg Franklin franklig@gas.uug.arizona.edu
atheism, >>I wouldn t  reasonably  be considered a murderer  with  reasonable  being >>introduced as a fudge factor necessary to account for the inability to be >>totally objective due to a lack of absolutely true information. >If society collective decides to carry the burden of executing >it s citizens  then it also carries the blame for their innocent >blood.  Each and every voter who casts a ballot in favor of >capital punishment is in part guilty of the murder of each and >every innocent victim of the system.  Why are only those people in favor of the system to blame.  If society accepts such a system  then each member of society is to blame when an innocent person gets executed.  Those that are not in favor should work to convince others.  And  most members of our society have accepted the blame--they ve considered the risk to be acceptable.  Similarly  every person who drives must accept the blame for fatal traffic accidents.  This is something that is surely going to happen when so many people are driving.  It is all a question of what risk is acceptable.  It is much more likely that an innocent person will be killed driving than it is that one will be executed.  keith
atheism, >>implanted some sort of electronic device. >Why wait until they commit the crime?  Why not implant such devices in >potential criminals like Communists and atheists?  Sorry  I don t follow your reasoning.  You are proposing to punish people *before* they commit a crime?  What justification do you have for this?  keith
religion, >>In article <1993Apr1.181711.9172@ringer.cs.utsa.edu> sbooth@lonestar.utsa.edu (Simon E. Booth) writes: >>>In article <sandvik-310393202727@sandvik-kent.apple.com> sandvik@newton.apple.com (Kent Sandvik) writes: >>>>In article <1pdi47$3mo@agate.berkeley.edu>  dzkriz@ocf.berkeley.edu (Dennis >>>>Kriz) wrote: >>>>> But Clinton s proposal now sounds like something out of Soylent >>>>> Green.  To accept its premise  one is expected to believe that >>>>> the only way we can have a decent medical system in this country >>>>> is to accept an annual federally supported blood sacrifice in the >>>>> form of hundreds of thousands of publicly provided/funded >>>>> abortions.  It s ridiculous.  It s offensive.  And it s an >>>>> absolute insult to our collective intelligence. >>>> >>>>We already kill people (death penalty)  and that costs even more >>>>money  so you could as well complain about this extremely barbaric >>>>way of justice. >>> >>>But the death penalty is right. >> >>      The death penalty is usually administered at the state level. >>How many federal crimes get the death penalty? >> >>>And how expensive can an execution be? I mean  I think rope  cyanide >>>(for the gas)  or the rifles and ammunition to arm firing squads are >>>affordable. >>> >>>Now  perhaps lethal injection might be expensive  in that case  let s >>>return to the more efficient methods employed in the past. >> >>      Executions are cheap.  Appeals are the expensive part.  >Then eliminate the appeals.  Sounds simple enough to me.  No doubt you base this on your assumption that a jury of attack puppies would never find an innocent person guilty?  >Simon  TOG 
atheism, >>it reasonable?  Or are *you* the sole judge of reasonability? >Aside from revenge  what merits do you find in capital punishment?  Are we talking about me  or the majority of the people that support it? Anyway  I think that  revenge  or  fairness  is why most people are in favor of the punishment.  If a murderer is going to be punished  people that think that he should  get what he deserves.   Most people wouldn t think it would be fair for the murderer to live  while his victim died.  >Revenge?  Petty and pathetic.  Perhaps you think that it is petty and pathetic  but your views are in the minority.  >We have a local televised hot topic talk show that very recently >did a segment on capital punishment.  Each and every advocate of >the use of this portion of our system of  jurisprudence  cited the >main reason for supporting it:   That bastard deserved it .  True >human compassion  forgiveness  and sympathy.  Where are we required to have compassion  forgiveness  and sympathy?  If someone wrongs me  I will take great lengths to make sure that his advantage is removed  or a similar situation is forced upon him.  If someone kills another  then we can apply the golden rule and kill this person in turn. Is not our entire moral system based on such a concept?  Or  are you stating that human life is sacred  somehow  and that it should never be violated?  This would sound like some sort of religious view.   >>I mean  how reasonable is imprisonment  really  when you think about it? >>Sure  the person could be released if found innocent  but you still >>can t undo the imiprisonment that was served.  Perhaps we shouldn t >>imprision people if we could watch them closely instead.  The cost would >>probably be similar  especially if we just implanted some sort of >>electronic device. >Would you rather be alive in prison or dead in the chair?    Once a criminal has committed a murder  his desires are irrelevant.  And  you still have not answered my question.  If you are concerned about the death penalty due to the possibility of the execution of an innocent  then why isn t this same concern shared with imprisonment.  Shouldn t we  by your logic  administer as minimum as punishment as possible  to avoid violating the liberty or happiness of an innocent person?  keith
